"","Age","Year","Female","Male","Total"
"1",0,1959,1354781,1410264,2765045
"2",0,1960,1322840.22,1381027.58,2703867.8
"3",0,1961,1321010.26,1382860.27,2703870.53
"4",0,1962,1266760.38,1326325.3,2593085.68
"5",0,1963,1184066.85,1237356.72,2421423.57
"6",0,1964,1110744.92,1166164.2,2276909.12
"7",0,1965,1015526.26,1061981.96,2077508.22
"8",0,1966,952520.72,998614.41,1951135.13
"9",0,1967,938930.55,979766.37,1918696.92
"10",0,1968,890508.61,930054.65,1820563.26
"11",0,1969,876110.01,914413.97,1790523.98
"12",0,1970,899603,918722,1818325
"13",0,1971,970585,1004593,1975178
"14",0,1972,989378,1028733,2018111
"15",0,1973,1031054,1063917,2094971
"16",0,1974,1015308,1057161,2072469
"17",0,1975,1052462,1092018,2144480
"18",0,1976,1063328,1098818,2162146
"19",0,1977,1066043,1109179,2175222
"20",0,1978,1064666,1102729,2167395
"21",0,1979,1057950,1094228,2152178
"22",0,1980,1053707,1097954,2151661
"23",0,1981,1070924,1115254,2186178
"24",0,1982,1087078,1129231,2216309
"25",0,1983,1132916,1179342,2312258
"26",0,1984,1207421,1255370,2462791
"27",0,1985,1170893,1218576,2389469
"28",0,1986,1159370,1202064,2361434
"29",0,1987,1204207,1252806,2457013
"30",0,1988,1202873,1251219,2454092
"31",0,1989,1139897,1187105,2327002
"32",0,1990,1035959,1087571,2123530
"33",0,1991,957048,1007499,1964547
"34",0,1992,868672,911359,1780031
"35",0,1993,763315.5,806136.5,1569452
"36",0,1994,661938,699048,1360986
"37",0,1995,686285.5,722201,1408486.5
"38",0,1996,656644,689863,1346507
"39",0,1997,627639,662268,1289907
"40",0,1998,605028,638149,1243177
"41",0,1999,616407,651156,1267563
"42",0,2000,584087,618358,1202445
"43",0,2001,607397,643346,1250743
"44",0,2002,618445,652827,1271272
"45",0,2003,663173.5,697246.5,1360420
"46",0,2004,709698,751299,1460997
"47",0,2005,722567,762487,1485054
"48",0,2006,705400,743109,1448509
"49",0,2007,712862,751341,1464203
"50",0,2008,775346,819866,1595212
"51",0,2009,826277,870036,1696313
"52",0,2010,840251,886298,1726549
"53",0,2011,809048,852478,1661526
"54",0,2012,868465,917708,1786173
"55",0,2013,917750,970890,1888640
"56",0,2014,916238,967151,1883389
"57",0,2015,924306,978312,1902618
"58",1,1959,1327834,1380478,2708312
"59",1,1960,1297553.03,1344296.43,2641849.46
"60",1,1961,1310994.79,1365185.2,2676179.99
"61",1,1962,1310937.16,1368429.83,2679366.99
"62",1,1963,1256752.8,1312128.76,2568881.56
"63",1,1964,1177382.81,1226981.04,2404363.85
"64",1,1965,1106454.76,1158559.54,2265014.3
"65",1,1966,1013949.2,1057964.92,2071914.12
"66",1,1967,950869.11,994165.75,1945034.86
"67",1,1968,935379.73,974018.86,1909398.59
"68",1,1969,892372.28,931342.64,1823714.92
"69",1,1970,883148,919154,1802302
"70",1,1971,917152,943769,1860921
"71",1,1972,948965,977505,1926470
"72",1,1973,970010,1001627,1971637
