https://rosstat.gov.ru/free_doc/doc_2017/demo17.pdf	2016			2017		
население	males and females	males	females	males and females	males	females
-1	1931054	992631	938423	1880216	965886	914330
1	1930684	992745	937939	1930605	992302	938303
2	1912981	982094	930887	1932624	993736	938888
3	1920333	987077	933256	1915514	983405	932109
4	1816734	933446	883288	1922781	988355	934426
5-9	8218211	4211668	4006543	8558662	4389167	4169495
10-14	7253775	3712709	3541066	7408271	3791237	3617034
15-19	6730886	3443026	3287860	6689989	3418141	3271848
20-24	8444986	4307642	4137344	7827731	3993373	3834358
25-29	12411663	6288406	6123257	11878430	6034298	5844132
30-34	12219287	6102791	6116496	12537448	6270161	6267287
35-39	11097933	5444921	5653012	11194479	5505186	5689293
40-44	10219612	4937356	5282256	10381038	5007750	5373288
45-49	9193107	4388816	4804291	9279470	4438688	4840782
50-54	10356491	4780600	5575891	9834894	4545011	5289883
55-59	11092703	4900632	6192071	11155125	4947111	6208014
60-64	9444605	3887444	5557161	9609832	3963518	5646314
65-69	7263294	2799845	4463449	7637223	2942496	4694727
70-74	3399715	1156592	2243123	3416104	1193965	2222139
75-79	5156849	1541511	3615338	5101428	1514304	3587124
80-84	2447866	647705	1800161	2594131	691621	1902510
85-	2081941	456890	1625051	2118377	474588	1643789
